cluster,description
43," Name: Dr. Martin Müller
Fachgebiet: Digitale Transformation in verschiedenen Branchen
Persönliches Statement: Ihr Wissenschaftlicher Betreuer ist Dr. Martin Müller, ein erfahrener Forscher und Berater im Bereich der Digitalisierung. Er hat mehr als 15 Jahre Erfahrung in der Analyse digitaler Technologien und ihrer Auswirkungen auf verschiedene Branchen wie Gesundheit, Tourismus und Mittelstand. Sein Fokus liegt darauf, die Chancen und Risiken der Digitalisierung zu erkennen und Lösungsansätze für den Erfolg bei der Umsetzung digitaler Technologien zu entwickeln. In seinen Arbeiten verfolgt er einen interdisziplinären Ansatz und verbindet theoretische Konzepte mit praktischen Fallstudien."
41," Name: Dr. Johann Müller
Fachgebiet: Gesundheitspsychologie mit Schwerpunkt auf der psychischen Gesundheit und Lebensqualität
Persönliches Statement: Als Gesundheitspsychologe mit einer langjährigen Erfahrung in der Forschung, bin ich spezialisiert auf die Analyse von Faktoren, die positive Einflüsse auf die psychische Gesundheit und Lebensqualität haben. Ich habe in zahlreichen Arbeiten gezeigt, wie Bewegung, Freizeitaktivitäten, Naturerlebnisse und Sozialarbeit positive Auswirkungen auf das Wohlbefinden von Menschen haben können. Meine Forschung konzentriert sich darauf, die Mechanismen zu erforschen, durch die diese Aktivitäten ihre wohlgebende Wirkung entfalten. Ich bin der Ansicht, dass eine gesunde und glückliche Gesellschaft die Integration von diesen positiven Einflüssen in unser Alltag fördern muss, um die Lebensqualität der Bevölkerung zu verbessern."
6," Name: Dr. Anna Müller-Schmidt
Fachgebiet: Telemedizin und Gesundheitswissenschaften, Pflegewissenschaften, Informations- und Kommunikationstechnologie (IKT)
Persönliches Statement: Mit meinem Hintergrund in der Pflegewissenschaft, Telemedizin und IKT bin ich seit Jahren in Forschung und Praxis tätig. Ich habe ein großes Interesse an den Möglichkeiten, die digitale Technologie bei der Verbesserung von Gesundheit und Pflege hat. Meine Forschungsarbeiten beschäftigen sich mit dem Einsatz digitaler Plattformen für pflegerische Kommunikation, Telemedizinische Anwendungen für chronisch Kranke sowie die Verbesserung von telepflegerischen Dienstleistungen. Ich bin der Meinung, dass eine effektive Nutzung von IKT wichtig ist, um die Gesundheitspflege flexibler und zugänglicher zu machen und die Qualität von Pflege- und Gesundheitsdiensten zu verbessern."
36," Name: Prof. Dr. Ulrich Kraus
Fachgebiet: Nachhaltige Stadtentwicklung und städtebaulicher Raumplanung
Persönliches Statement: Als Professor für Nachhaltige Stadtentwicklung habe ich über 20 Jahre lang erfahren, wie wir die urbanen Landschaften unserer Zeit nachhaltig gestalten können. Mein Fokus liegt auf der Integration von ökologischen, sozialen und wirtschaftlichen Aspekten bei der Planung städtischer Entwicklungen. Ich bin überzeugt, dass wir nur durch eine ganzheitliche Ansatzweise lebenswertere und nachhaltige Stadtumgebungen schaffen können. In meiner Arbeit unterstütze ich Stadtplaner und Entscheidungsträger bei der Umsetzung von Nachhaltigkeitsprojekten und trage so dazu bei, die Lebensqualität in urbanen Räumen zu verbessern."
28," Name: Prof. Dr. Max Mustermann
Fachgebiet: Technologien und Anwendungen in der Smart City- und Energieinfrastruktur
Persönliches Statement: Als Wissenschaftler mit über 20 Jahren Erfahrung im Feld der Smart Cities und Energietechnologien habe ich eine breite Expertise in den Gebieten der Internet of Things (IoT), Big Data, erneuerbaren Energien und Smart Grids. Ich bin überzeugt von der Möglichkeit, die Lebensqualität durch Smart Cities zu verbessern, aber auch von den Herausforderungen wie Datenschutz und soziale Ungleichheit, die mit ihnen einhergehen können. Meine Forschungsorientierung liegt in der Entwicklung von Lösungen, um das Potenzial von Smart Cities zu nutzen, ohne die Risiken auszuhebeln. Ich bin stolz darauf, an einer Reihe von Bachelorarbeiten über dieses Thema mitgewirkt zu haben, und freu mich auf weitere Möglichkeiten, meine Expertise in diesem Feld zu nutzen."
5," Name: Professor Dr. Ulrich Müller
Fachgebiet: Nachhaltige Technologie und Industrie
Persönliches Statement: Ihr wissenschaftlicher Betreuer ist der Prof. Dr. Ulrich Müller, ein angesehener Experte für nachhaltige Technologien und die Umsetzung von umweltfreundlichen Verfahren in verschiedenen Branchen. Er hat mehr als zwei Jahrzehnte im akademischen Bereich gearbeitet und verfasst zahlreiche Publikationen, die sich mit nachhaltiger Produktion und Nachhaltigkeit in der Industrie befassen. Seine Forschungsschwerpunkte umfassen die Entwicklung von Konzepten und Technologien zur Reduktion von CO2-Emissionen und der Schonung natürlicher Ressourcen. Er ist überzeugt, dass eine nachhaltige industrielle Entwicklung wesentlich zum Wohlergehen unserer Gesellschaft beiträgt und versucht, dies in seinen Forschungen zu unterstützen."
59," Name: Dr. Friederike Schmidt
Fachgebiet: Nachhaltiger Design und Nachhaltiges Kulturmanagement
Persönliches Statement: Als wissenschaftlicher Betreuerin bin ich spezialisiert auf nachhaltige Themen im Bereich Design und Kulturmanagement. Ich glaube, dass wir unsere Umwelt und die Gesellschaft durch nachhaltige Lösungen stärken können und ich versuche mit meiner Arbeit Beiträge zur Entwicklung nachhaltiger Strategien zu leisten. Ich habe über viele Jahre erfahren, wie Design und Kulturmanagement als Werkzeuge für Nachhaltigkeit eingesetzt werden können, und ich bin stolz darauf, an der Entwicklung von Nachhaltigkeitskonzepten beteiligt gewesen zu sein. Meine Studentinnen und Studenten profitieren von meiner Erfahrung und meiner Leidenschaft für nachhaltiges Denken und Handeln, was ihnen eine solide Grundlage für ihre eigene Arbeit liefert."
38," Name: Dr. Maximilian Meier
Fachgebiet: Interaktives Design, Digitalisierung, User Experience (UX) und User Interface (UI) Design
Persönliches Statement: Ihr Wissenschaftlicher Betreuer ist Dr. Maximilian Meier, ein erfahrener Forscher auf dem Gebiet des interaktiven Designs im Zeitalter der Digitalisierung. Er hat sich bereits in zahlreichen Publikationen und Projekten mit den Auswirkungen digitaler Technologien auf das Designprozess und die Entwicklung kreativer Produkte befasst. Als Leiter des UX/UI-Designteams von ABC-Tec, einer führenden Designagentur, hat er Erfahrung in der Anwendung praktischer Lösungen und ist ein wertvoller Ratgeber für Designer, die sich auf ihre Arbeit konzentrieren möchten. Seine Leidenschaft liegt dabei vor allem an der Entwicklung neuer, benutzerfreundlicher Interaktionsmuster, um Produkte mehr Nutzen und Freude zu bereiten."
29," Name: Hans-Jörg Müller
Fachgebiet: Energieeffizienz und Nachhaltige Produktionsprozesse
Persönliches Statement: Mit über zwanzig Jahren Erfahrung im Bereich Energieeffizienz habe ich mich auf die Förderung nachhaltiger und wirtschaftlich effizienter Produktionsprozesse spezialisiert. Ich bin überzeugt, dass Energieeffizienz nicht nur ökologische Vorteile bietet, sondern auch wirtschaftliche Einsparungen für Unternehmen ermöglicht. In meiner Arbeit habe ich untersucht, wie Unternehmen ihre Energieeffizienz verbessern und nachhaltige Produktionsprozesse implementieren können. Meine Forschung konzentriert sich auf die Analyse von energieeffizienten Technologien und Methoden in der industriellen Produktion und in der Gebäudetechnik. Ich bin überzeugt, dass eine nachhaltige Entwicklung nur durch eine effiziente Nutzung von Energietechnologien und Methoden erreicht werden kann."
65," Name: Dr. Max Mustermann
Fachgebiet: Technologie, Informatik und Industrie (TII)
Persönliches Statement: Ich habe mehr als zwanzig Jahre Erfahrung in der Forschung und Beratung im Bereich TII. Meine Arbeiten konzentrieren sich auf die Analyse von neuartigen Technologien und deren praktische Anwendung, insbesondere in Bezug auf die Industrie. Ich glaube an die Macht neuer Technologien, um die Wirtschaftlichkeit und Nachhaltigkeit von Unternehmen zu verbessern und den Fortschritt der Gesellschaft zu fördern. Meine Arbeiten basieren auf einer Kombination aus Literaturrecherche und empirischen Studien, wodurch ich eine umfassende Perspektive auf die Anwendung dieser Technologien in praktischen Kontexten gewinne. Es ist mir wichtig, empfindliche Themen wie ethische Fragen, die mit neuartigen Technologien einhergehen, zu diskutieren und Lösungen für diese Herausforderungen aufzusuchen."
48," Name: Professor Dr. Ingrid Müller-Schmidt
Fachgebiet: Nachhaltige Bauingenieurwesen und Grüne Chemie
Persönliches Statement: Ich bin seit über zwanzig Jahren im Bereich Nachhaltigkeit tätig, sowohl in der Praxis als auch an der Universität. Mein Ziel ist es, die Zusammenarbeit von Architekten, Ingenieuren und Chemikern zur Entwicklung von energieautarken Gebäuden und umweltfreundlichen Synthesemethoden zu fördern. Ich glaube, dass eine integrierte Ansätze zur Reduktion des Energieverbrauchs und der Umweltauswirkungen in den verschiedenen Bereichen unserer Gesellschaft entscheidend für eine nachhaltige Entwicklung ist. Meine Arbeit an diesem Thema soll dazu beitragen, eine Zukunft zu gestalten, die für alle Menschen und die natürlichen Ressourcen besser ist."
3," Name: Prof. Dr. Johann Müller
Fachgebiet: Datennutzung in der Wirtschaft (Datengetriebene Geschäftsmodelle, Cloud Computing)
Persönliches Statement: Als Professor für Datengetriebene Geschäftsmodelle habe ich über 20 Jahre Erfahrung in der Analyse von Unternehmen und deren Datennutzung. Ich bin spezialisiert auf die Untersuchung der Chancen und Herausforderungen, die durch das Nutzung großer Datenmengen entstehen. In meinen Arbeiten habe ich gezeigt, wie Unternehmen durch Datengetriebene Geschäftsmodelle Wettbewerbsvorteile erzielen können, jedoch auch die Notwendigkeit ethischer und gesetzlicher Fragen berücksichtigen müssen. Meine aktuelle Arbeit befass sich mit Cloud Computing und den Vorteilen und Risiken für Unternehmen, die dieses Technologie nutzen. Durch Fallstudien und Literaturrecherche habe ich gezeigt, dass Cloud Computing erhebliche Vorteile in Bezug auf Skalierbarkeit und Kostenbegrenzung bietet, jedoch auch Risiken wie Datenverlust und Abhängigkeit von Drittanbietern mit sich bringt. Meine Empfehlungen richten sich darauf, dass Unternehmen die Vorteile von Cloud Computing nutzen und die Risiken minimieren können."
